BUDAPEST;BARANYA;BACS;BEKES;BORSOD;CSONGRAD;FEJER;GYOR;HAJDU;HEVES
7;3;5;1;3;2;11;8;2;2
18;2;9;8;9;1;1;18;1;2
6;22;0;0;4;9;12;13;12;1
21;15;1;1;17;9;3;8;2;11
30;26;10;7;31;19;25;26;20;20
21;9;1;11;13;28;8;10;33;35
79;18;8;4;16;15;14;82;19;66
64;5;14;11;71;22;48;40;32;49
55;24;8;8;37;2;13;21;32;20
18;14;3;19;80;10;32;53;39;18
101;20;14;10;44;20;7;39;26;64
63;30;30;11;81;16;38;40;37;21
59;44;35;23;84;59;37;42;19;82
6;3;0;0;3;0;1;0;3;1
26;27;1;1;49;0;37;43;29;18
150;49;4;4;205;48;47;81;112;22
80;50;41;4;73;69;61;59;54;84
82;19;72;13;40;12;44;14;34;40
58;24;41;24;76;67;24;34;40;27
84;43;14;14;66;47;28;9;7;23
59;31;1;26;76;77;18;66;38;30
60;29;72;21;114;73;71;56;26;50
116;40;36;30;104;56;23;52;55;14
99;53;51;41;103;61;78;52;39;6
112;48;77;20;121;1;25;55;59;53
197;49;21;50;134;112;34;85;64;32
116;60;34;58;185;54;54;50;97;31
215;51;68;54;72;144;46;35;48;66
82;21;157;26;109;61;41;62;87;43
155;31;38;56;107;57;47;15;92;32
80;21;25;6;22;21;1;23;9;18
13;10;5;0;0;3;0;7;0;4
70;67;40;59;76;44;88;34;93;31
391;35;274;62;109;20;42;87;165;77
178;23;48;9;133;30;22;14;176;96
124;35;80;74;79;14;74;41;57;100
235;17;85;27;158;72;20;33;36;38
88;4;0;8;17;29;7;37;30;70
187;27;177;11;63;35;60;21;43;76
140;20;84;8;106;4;14;9;40;48
111;19;25;4;7;31;15;28;12;11
72;27;17;5;81;8;16;7;15;40
75;4;25;3;14;17;11;5;27;33
44;7;10;2;18;2;1;7;9;12
40;0;12;7;22;93;3;6;2;8
37;5;8;0;7;57;4;4;17;1
10;2;2;4;3;25;3;5;9;12
6;4;1;1;0;34;6;3;2;1
7;3;1;7;1;0;1;5;4;0
5;0;0;0;1;1;3;0;1;2
10;2;0;0;3;0;3;1;1;0
11;4;0;1;1;0;2;3;4;3
16;4;1;1;2;7;3;5;3;0
20;4;2;0;3;3;7;3;4;1
17;10;0;1;3;1;18;1;1;0
21;1;0;1;4;0;20;17;3;0
34;12;3;26;9;1;22;3;1;3
28;7;1;2;13;2;13;11;3;1
44;4;7;0;16;0;18;11;11;1
33;5;10;0;29;3;20;7;3;1
85;15;26;7;14;3;28;13;9;3
16;15;14;2;3;0;9;23;6;0
95;12;41;6;39;0;16;15;14;10
43;39;31;10;34;3;2;30;25;19
35;7;15;0;0;0;7;7;4;2
30;23;8;0;11;4;1;9;10;17
259;42;49;32;38;15;11;98;61;38
