time,front,back
4/2/2021 16:50,13.69,21.66
4/2/2021 17:00,15.07,21.61
4/2/2021 17:10,15.14,21.69
4/2/2021 17:20,14.01,21.85
4/2/2021 17:30,12.69,20.87
4/2/2021 17:40,11.6,20.93
4/2/2021 17:50,12.15,20.57
4/2/2021 18:00,12.99,21.17
4/2/2021 18:10,11.89,19.53
4/2/2021 18:20,10.85,21.14
4/2/2021 18:30,11.81,20.09
4/2/2021 18:40,9.46,18.48
4/2/2021 18:50,9.25,20.33
4/2/2021 19:00,9.26,19.82
4/2/2021 19:10,8.55,20.07
4/2/2021 19:20,8.86,19.81
4/2/2021 19:30,10.32,20.64
4/2/2021 19:40,11.39,20.04
4/2/2021 19:50,11.78,21.52
4/2/2021 20:00,13.13,20.35
4/2/2021 20:10,12.73,19.88
4/2/2021 20:20,13.86,22.36
4/2/2021 20:30,12.38,19.04
4/2/2021 20:40,12.51,23.32
4/2/2021 20:50,14.32,20.42
4/2/2021 21:00,13.47,20.88
4/2/2021 21:10,12.96,20.25
4/2/2021 21:20,11.65,20.69
4/2/2021 21:30,11.99,19.7
4/2/2021 21:40,9.6,18.51
4/2/2021 21:50,7.38,18.48
4/2/2021 22:00,6.98,20.37
4/2/2021 22:10,8.18,18.21
4/2/2021 22:20,7.5,20.85
4/2/2021 22:30,7.04,18.9
4/2/2021 22:40,9.06,19.84
4/2/2021 22:50,8.61,19.15
4/2/2021 23:00,8.93,20.77
4/2/2021 23:10,9.81,18.95
4/2/2021 23:20,9.57,20.33
4/2/2021 23:30,10.31,21.69
4/2/2021 23:40,11.88,18.66
4/2/2021 23:50,12.36,22.35
4/3/2021 0:00,12.18,19.34
4/3/2021 0:10,12.94,22.76
4/3/2021 0:20,14.25,19.6
4/3/2021 0:30,12.86,23.74
4/3/2021 0:40,12.14,18.06
4/3/2021 0:50,10.06,20.11
4/3/2021 1:00,10.17,19.56
4/3/2021 1:10,7.56,19.27
4/3/2021 1:20,7.77,18.59
4/3/2021 1:30,9.03,21.85
4/3/2021 1:40,10.8,19.21
4/3/2021 1:50,9.41,19.42
4/3/2021 2:00,7.81,19.79
4/3/2021 2:10,7.99,18.81
4/3/2021 2:20,5.78,18.46
4/3/2021 2:30,5.45,19.46
4/3/2021 2:40,6.5,18.33
4/3/2021 2:50,5.23,19.22
4/3/2021 3:00,4.97,17.7
4/3/2021 3:10,4.3,18.42
4/3/2021 3:20,4.47,17.85
4/3/2021 3:30,5.48,19.16
4/3/2021 3:40,5.7,17.91
4/3/2021 3:50,3.78,19.36
4/3/2021 4:00,5.86,18.18
4/3/2021 4:10,6.56,20.82
4/3/2021 4:20,6.82,18.47
4/3/2021 4:30,5.18,19.09
4/3/2021 4:40,6.3,18.91
4/3/2021 4:50,9.12,20.93
4/3/2021 5:00,9.3,18.73
4/3/2021 5:10,10.37,22.17
4/3/2021 5:20,11.87,19.03
4/3/2021 5:30,12.36,22.15
4/3/2021 5:40,14.61,20.67
4/3/2021 5:50,13.63,22.39
4/3/2021 6:00,13.12,19.75
4/3/2021 6:10,10.07,18.94
4/3/2021 6:20,10.14,21.47
4/3/2021 6:30,11.02,19.79
4/3/2021 6:40,11.37,21.94
4/3/2021 6:50,10.98,18.73
4/3/2021 7:00,10.04,21.41
4/3/2021 7:10,11.3,19.2
4/3/2021 7:20,10.59,23
4/3/2021 7:30,11.69,17.47
4/3/2021 7:40,10.73,21.59
4/3/2021 7:50,13.64,21.62
4/3/2021 8:00,12.92,20.23
